sitzungen_mai;alte_url;befund;uebernehmen;vorschlag_1;score_1;vorschlag_2;score_2;vorschlag_3;score_3
17;https://www.finanzleser.de/Datenschutz;Weiterleitung fehlt (404);https://www.finanzleser.de/datenschutz;https://www.finanzleser.de/finanztools/rechner/mutterschutz;0.348;https://www.finanzleser.de/finanztools/rechner/rentenschaetzer;0.308;https://www.finanzleser.de/recht/arbeitsrecht;0.261
12;https://www.finanzleser.de/unterhaltsrechner;leitet auf Uebersichtsseite;https://www.finanzleser.de/finanztools/rechner/unterhalt;https://www.finanzleser.de/finanztools/rechner/haushaltsrechner;0.394;https://www.finanzleser.de/recht/ehe-familie/unterhaltsvorschuss;0.361;https://www.finanzleser.de/finanztools/checklisten/unterhaltsvorschuss;0.361
10;https://www.finanzleser.de/arbeitslosengeldrechner;leitet auf Uebersichtsseite;https://www.finanzleser.de/finanztools/rechner/alg1;https://www.finanzleser.de/recht/arbeitsrecht/arbeitslosengeld;0.41;https://www.finanzleser.de/finanztools/checklisten/arbeitslosengeld;0.41;https://www.finanzleser.de/recht/arbeitsrecht;0.314
10;https://www.finanzleser.de/midijob;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/gleitzone;https://www.finanzleser.de/recht/arbeitsrecht/minijob;0.429;https://www.finanzleser.de/finanztools/rechner/minijob;0.429;https://www.finanzleser.de/finanztools/checklisten/minijob;0.429
10;https://www.finanzleser.de/pensionsfonds;Weiterleitung fehlt (404);https://www.finanzleser.de/versicherungen/altersvorsorge;https://www.finanzleser.de/finanztools/checklisten/fonds;0.278;https://www.finanzleser.de/finanzen/geldanlagen/fonds;0.278;https://www.finanzleser.de/finanztools/checklisten/zinsbindungsfrist;0.233
10;https://www.finanzleser.de/splittingtabelle;Weiterleitung fehlt (404);bereits live gefixt;https://www.finanzleser.de/steuern/steuerarten/splittingtabelle;1.0;https://www.finanzleser.de/finanztools/checklisten/splittingtabelle;1.0;https://www.finanzleser.de/steuern/steuererklaerung/steuertabelle;0.31
9;https://www.finanzleser.de/anwaltskostenrechner;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/gerichtskosten;https://www.finanzleser.de/finanztools/rechner/haushaltsrechner;0.333;https://www.finanzleser.de/finanztools/vergleiche/rentenlueckenrechner;0.3;https://www.finanzleser.de/finanztools/rechner;0.259
9;https://www.finanzleser.de/finanzvergleich/versicherungsvergleich;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/vergleiche;https://www.finanzleser.de/finanztools/vergleiche/kfz-versicherung-vergleich;0.438;https://www.finanzleser.de/finanztools/vergleiche/cyberversicherung-vergleich;0.429;https://www.finanzleser.de/finanztools/vergleiche/unfallversicherung-vergleich;0.42
9;https://www.finanzleser.de/hausratversicherung-wechseln;Weiterleitung fehlt (404);https://www.finanzleser.de/versicherungen/sachversicherungen/hausratversicherung;https://www.finanzleser.de/versicherungen/sachversicherungen/hausratversicherung;0.654;https://www.finanzleser.de/finanztools/checklisten/hausratversicherung;0.654;https://www.finanzleser.de/finanztools/vergleiche/hausratversicherung-vergleich;0.57
8;https://www.finanzleser.de/allianz-hausratversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/allianz-versicherung-kontakt;https://www.finanzleser.de/versicherungen/sachversicherungen/hausratversicherung;0.663;https://www.finanzleser.de/finanztools/checklisten/hausratversicherung;0.663;https://www.finanzleser.de/finanztools/vergleiche/hausratversicherung-vergleich;0.506
8;https://www.finanzleser.de/hdi-haftpflichtversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/hdi-versicherung-kontakt;https://www.finanzleser.de/dokumente/gdv-haftpflichtversicherung;0.63;https://www.finanzleser.de/versicherungen/sachversicherungen/private-haftpflichtversicherung;0.598;https://www.finanzleser.de/finanztools/checklisten/private-haftpflichtversicherung;0.598
8;https://www.finanzleser.de/lohnsteuer-rechner;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/brutto-netto;https://www.finanzleser.de/steuern/steuerarten/lohnsteuer;0.607;https://www.finanzleser.de/finanztools/checklisten/lohnsteuer;0.607;https://www.finanzleser.de/finanztools/rechner;0.53
8;https://www.finanzleser.de/notarkosten-grundbuchkosten;Weiterleitung fehlt (404);https://www.finanzleser.de/finanzen/kredite-bauen;https://www.finanzleser.de/dokumente/riesterrente-checkliste;0.24;https://www.finanzleser.de/neodigital-versicherung-kontakt;0.224;https://www.finanzleser.de/monuta-versicherung-kontakt;0.222
8;https://www.finanzleser.de/ratgeber/ratgeber-versicherungen/ratgeber-berufsunfaehigkeitsversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/versicherungen/berufsunfaehigkeit;https://www.finanzleser.de/versicherungen/berufsunfaehigkeit/berufsunfaehigkeitsversicherung;0.687;https://www.finanzleser.de/finanztools/checklisten/berufsunfaehigkeitsversicherung;0.687;https://www.finanzleser.de/finanztools/vergleiche/berufsunfaehigkeitsversicherung-vergleich;0.549
7;https://www.finanzleser.de/ehegattenunterhaltrechner;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/unterhalt;https://www.finanzleser.de/recht/ehe-familie/ehegattenunterhalt;0.419;https://www.finanzleser.de/finanztools/checklisten/ehegattenunterhalt;0.419;https://www.finanzleser.de/finanztools/rechner/haushaltsrechner;0.341
7;https://www.finanzleser.de/foerdermittel-neubau-und-sanierung;Weiterleitung fehlt (404);https://www.finanzleser.de/finanzen/kredite-bauen/kfw-foerderung;https://www.finanzleser.de/finanztools/checklisten/baufinanzierung;0.245;https://www.finanzleser.de/finanzen/kredite-bauen/baufinanzierung;0.245;https://www.finanzleser.de/dokumente/berufsstarter-und-sozialversicherung;0.243
7;https://www.finanzleser.de/gvo-rechtsschutzversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/gvo-versicherung-kontakt;https://www.finanzleser.de/versicherungen/sachversicherungen/rechtsschutzversicherung;0.712;https://www.finanzleser.de/finanztools/checklisten/rechtsschutzversicherung;0.712;https://www.finanzleser.de/dokumente/gdv-rechtsschutzversicherung;0.649
7;https://www.finanzleser.de/steuererklaerung-frist;Weiterleitung fehlt (404);https://www.finanzleser.de/steuern/steuerarten/steuererklaerung;https://www.finanzleser.de/steuern/steuererklaerung;0.671;https://www.finanzleser.de/steuern/steuerarten/steuererklaerung;0.671;https://www.finanzleser.de/finanztools/checklisten/steuererklaerung;0.671
6;https://www.finanzleser.de/grundbuch;Weiterleitung fehlt (404);https://www.finanzleser.de/finanzen/kredite-bauen;https://www.finanzleser.de/finanztools/checklisten/grundschuld;0.35;https://www.finanzleser.de/finanzen/kredite-bauen/grundschuld;0.35;https://www.finanzleser.de/recht/arbeitsrecht/grundsicherung;0.304
6;https://www.finanzleser.de/grundrente;Weiterleitung fehlt (404);https://www.finanzleser.de/dokumente/grundrente;https://www.finanzleser.de/dokumente/grundrente;1.0;https://www.finanzleser.de/steuern/steuerarten/grundsteuer;0.333;https://www.finanzleser.de/steuern/steuerarten/grunderwerbsteuer;0.333
6;https://www.finanzleser.de/leasingrechner;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/leasing;https://www.finanzleser.de/finanztools/vergleiche/mietkaution-rechner;0.333;https://www.finanzleser.de/finanztools/rechner/leasing;0.333;https://www.finanzleser.de/finanztools/rechner;0.333
6;https://www.finanzleser.de/lebensversicherung-Rechner;leitet auf Uebersichtsseite;https://www.finanzleser.de/finanztools/vergleiche/lebensversicherung-vergleich;https://www.finanzleser.de/versicherungen/altersvorsorge/lebensversicherung;0.659;https://www.finanzleser.de/finanztools/checklisten/lebensversicherung;0.659;https://www.finanzleser.de/finanztools/vergleiche/lebensversicherung-vergleich;0.593
5;https://www.finanzleser.de/abfindungsrechner;Weiterleitung fehlt (404);https://www.finanzleser.de/finanztools/rechner/abfindung;https://www.finanzleser.de/finanztools/checklisten/abfindungen;0.393;https://www.finanzleser.de/finanztools/rechner/abfindung;0.346;https://www.finanzleser.de/versicherungen/berufsunfaehigkeit/erwerbsminderungsrente;0.308
5;https://www.finanzleser.de/cosmos-direkt-unfallversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/cosmos-direkt-versicherung-kontakt;https://www.finanzleser.de/cosmos-direkt-versicherung-kontakt;0.594;https://www.finanzleser.de/versicherungen/unfallversicherung/unfallversicherung;0.527;https://www.finanzleser.de/versicherungen/unfallversicherung;0.527
5;https://www.finanzleser.de/devk-hausratversicherung;Weiterleitung fehlt (404);https://www.finanzleser.de/devk-versicherung-kontakt;https://www.finanzleser.de/versicherungen/sachversicherungen/hausratversicherung;0.692;https://www.finanzleser.de/finanztools/checklisten/hausratversicherung;0.692;https://www.finanzleser.de/finanztools/vergleiche/hausratversicherung-vergleich;0.525
5;https://www.finanzleser.de/dienstunfaehigkeitsversicherung-beamte;Weiterleitung fehlt (404);https://www.finanzleser.de/versicherungen/berufsunfaehigkeit;https://www.finanzleser.de/versicherungen/berufsunfaehigkeit/berufsunfaehigkeitsversicherung;0.391;https://www.finanzleser.de/finanztools/checklisten/berufsunfaehigkeitsversicherung;0.391;https://www.finanzleser.de/finanztools/vergleiche/berufsunfaehigkeitsversicherung-vergleich;0.38
5;https://www.finanzleser.de/festgeld-rechner;leitet auf Uebersichtsseite;https://www.finanzleser.de/finanztools/vergleiche/festgeldvergleich;https://www.finanzleser.de/finanztools/checklisten/festgeld;0.583;https://www.finanzleser.de/finanzen/geldanlagen/festgeld;0.583;https://www.finanzleser.de/finanztools/rechner;0.554
